trade_id,direction,entry_price,stop_loss,take_profit,atr,atr_percent,volatility_regime,sl_distance,target_distance,sl_atr_multiplier,rr_ratio
BTC-USDT_short_1753993800,short,115322.8,115879.09,114210.22,370.85991984591396,0.321584213915994,low,556.2899999999936,1112.5800000000017,1.5000003241955149,2.000000000000026
BTC-USDT_short_1754004600,short,115649.9,117016.52,112916.66,683.312798248612,0.5908459914350225,normal,1366.62000000001,2733.2399999999907,1.9999918097579492,1.9999999999999787
BTC-USDT_short_1754076600,short,113300.0,114963.1,109973.8,831.551374910915,0.7339376654112224,normal,1663.1000000000058,3326.199999999997,1.999996693142592,1.9999999999999913
BTC-USDT_long_1754304300,long,115299.0,114999.39,115898.22,199.74485666401438,0.17324075374809356,low,299.6100000000006,599.2200000000012,1.4999635284925847,2.0
BTC-USDT_long_1754307900,long,114819.7,114163.765,116043.0,437.29278554843074,0.38085170536800805,low,655.9349999999977,1223.300000000003,1.4999904450226793,1.8649713767370353
BTC-USDT_short_1754367300,short,113987.8,114306.895,113349.61,212.7341019446674,0.1866288339143903,low,319.09500000000116,638.1900000000023,1.4999710769597179,2.0
BTC-USDT_short_1754370900,short,114290.5,114624.445,113622.61,222.62943125828795,0.1947925954110691,low,333.945000000007,667.8899999999994,1.500003831984703,1.9999999999999565
BTC-USDT_short_1754375400,short,114850.3,115507.435,113536.03,438.0873176491916,0.38144203162655355,low,657.1349999999948,1314.270000000004,1.5000091843019536,2.000000000000022
BTC-USDT_short_1754392500,short,113045.0,113623.775,111887.45,385.8524973470478,0.34132646056618854,low,578.7749999999942,1157.550000000003,1.499990291573585,2.0000000000000253
BTC-USDT_short_1754408700,short,113615.2,114466.195,111913.21,567.328418450883,0.4993420056919171,low,850.9950000000099,1701.9899999999907,1.5000041815703362,1.9999999999999658
BTC-USDT_long_1754480700,long,114931.3,114394.39,116005.12,357.9350302551847,0.31143390029973095,low,536.9100000000035,1073.8199999999924,1.5000208267327764,1.999999999999973
BTC-USDT_short_1754530200,short,114324.8,114425.975,114122.45,67.4487446343721,0.05899747441882435,low,101.17500000000291,202.35000000000582,1.5000279182133776,2.0
BTC-USDT_long_1754532900,long,114551.2,114450.19,115018.55,67.33953419358348,0.0587855336247752,low,101.00999999999476,467.3500000000058,1.5000103759199988,4.626769626769924
BTC-USDT_long_1754542800,long,115010.0,114872.42,115285.16,91.72344970956837,0.07975258647906128,low,137.58000000000175,275.1600000000035,1.4999435851533365,2.0
BTC-USDT_long_1754549100,long,116322.2,115628.705,117709.19,462.3349137906276,0.3974605997742715,low,693.4949999999953,1386.9900000000052,1.4999840576912402,2.000000000000021
BTC-USDT_long_1754722800,long,117422.7,116843.985,118580.13,385.8085849881969,0.32856388499685063,low,578.7149999999965,1157.4300000000076,1.5000055014786704,2.0000000000000253
BTC-USDT_short_1754744400,short,116734.8,116846.025,116512.35,74.14555647131225,0.06351624063373754,low,111.22499999999127,222.4499999999971,1.5000898947063062,2.000000000000131
BTC-USDT_short_1754771400,short,116587.8,116774.37,116214.66,124.37960415224252,0.10668320712136478,low,186.56999999999243,373.1399999999994,1.500004773866525,2.000000000000078
BTC-USDT_long_1754781300,long,117328.8,116809.29,118367.82,346.3442155660343,0.29519113428760396,low,519.5100000000093,1039.020000000004,1.4999817425879864,1.999999999999972
BTC-USDT_long_1754784900,long,118505.2,117883.255,119749.09,414.63391445417426,0.3498866838368057,low,621.9449999999924,1243.8899999999994,1.4999858388784317,2.0000000000000235
BTC-USDT_long_1754794800,long,118078.1,117443.375,119347.55,423.14584914570736,0.35836099085749795,low,634.7250000000058,1269.449999999997,1.5000147142680411,1.9999999999999771
BTC-USDT_long_1754864100,long,119989.1,119251.73,121463.84,491.5834648126786,0.4096901008613937,low,737.3700000000099,1474.7399999999907,1.4999894275959629,1.9999999999999605
BTC-USDT_long_1754867700,long,121851.8,120957.23,123640.94,596.3775030403441,0.4894285542276307,low,894.570000000007,1789.1399999999994,1.5000062803165306,1.9999999999999838
BTC-USDT_long_1754898300,long,120563.8,119318.86,123053.68,622.468712670935,0.5162981862473934,normal,1244.9400000000023,2489.87999999999,2.0000041362048884,1.9999999999999882
BTC-USDT_long_1754923500,long,119098.1,116765.48,123763.34,1166.3137740108214,0.9792883127529501,normal,2332.62000000001,4665.239999999991,1.9999935283096186,1.9999999999999876
BTC-USDT_long_1755118800,long,123396.5,120951.48,128286.54,1222.5096972978045,0.9907166712976497,normal,2445.020000000004,4890.039999999994,2.000000495214391,1.999999999999994
BTC-USDT_long_1755157500,long,120954.1,118395.22,126071.86,1279.4373534538367,1.0577875024111103,normal,2558.8800000000047,5117.759999999995,2.0000041370468957,1.9999999999999942
BTC-USDT_short_1755164700,short,118268.0,121099.2,112605.6,1415.6019449292962,1.1969441817983701,normal,2831.199999999997,5662.399999999994,1.9999972521522669,2.0
BTC-USDT_short_1755783000,short,112348.0,112641.25,111761.5,195.50484622470208,0.17401720210836158,low,293.25,586.5,1.4999628176119748,2.0
BTC-USDT_short_1755791100,short,112275.4,112764.565,111297.07,326.1054776821075,0.29045140581294526,low,489.16500000000815,978.3299999999872,1.5000208014808434,1.9999999999999405
BTC-USDT_short_1755810900,short,112640.0,113457.515,111004.97,545.0097396384217,0.4838509762414966,low,817.5149999999994,1635.0299999999988,1.5000007165786928,2.0
BTC-USDT_long_1755859500,long,115037.3,114227.045,116657.81,540.1747255529635,0.46956485031634393,low,810.2550000000047,1620.5099999999948,1.4999868777099237,1.999999999999982
BTC-USDT_long_1755864000,long,116919.0,116073.84,118609.32,563.4382943216896,0.48190481814049857,low,845.1600000000035,1690.320000000007,1.5000045409009202,2.0
BTC-USDT_short_1755904500,short,115908.7,116329.48,115067.14,280.5225299270011,0.2420202538092491,low,420.77999999999884,841.5599999999977,1.4999864720651714,2.0
BTC-USDT_short_1755944100,short,115064.4,115229.955,114733.29,110.37072600351264,0.09592082868681595,low,165.55500000000757,331.1100000000006,1.4999901332055987,1.999999999999912
BTC-USDT_short_1755949500,short,114812.2,114978.805,114478.99,111.07436268096961,0.09674439012663255,low,166.60499999999593,333.20999999999185,1.4999410843213452,2.0
BTC-USDT_short_1755956700,short,115052.9,115185.785,114787.13,88.59336374041509,0.07700228654854861,low,132.8850000000093,265.7699999999895,1.4999430475331301,1.999999999999781
BTC-USDT_long_1755968400,long,115333.9,114729.85,116542.0,402.6952279776747,0.3491559966130294,low,604.0499999999884,1208.1000000000058,1.5000177753123927,2.000000000000048
BTC-USDT_short_1756019700,short,114808.1,115055.165,114313.97,164.70634448333635,0.1434623031679266,low,247.06499999998778,494.13000000000466,1.50003329121899,2.0000000000001177
BTC-USDT_short_1756052100,short,112628.4,115000.78,107883.64,1186.1879750878838,1.0531872734478018,normal,2372.3800000000047,4744.759999999995,2.0000034141504734,1.9999999999999938
BTC-USDT_short_1756488600,short,108392.5,111081.22,103015.06,1344.363233727174,1.2402732972550445,normal,2688.720000000001,5377.440000000002,1.9999951892061725,2.0
BTC-USDT_long_1756810800,long,111355.4,109765.62,114534.96,794.8882938936995,0.7138300377832593,normal,1589.7799999999988,3179.560000000012,2.0000042926944905,2.0000000000000093
BTC-USDT_short_1756986300,short,109517.6,111818.08,104916.64,1150.2405590574274,1.0502791871420003,normal,2300.479999999996,4600.960000000006,1.9999990279295492,2.000000000000006
BTC-USDT_long_1757043900,long,112952.7,112106.97,114644.16,563.8223345898568,0.4991667614761372,low,845.7299999999959,1691.4600000000064,1.4999937890279003,2.0000000000000173
BTC-USDT_short_1757070000,short,110916.4,111677.935,109393.33,507.6915755786774,0.4577245344950588,low,761.5350000000035,1523.0699999999924,1.4999953448744745,1.999999999999981
BTC-USDT_long_1757308500,long,111681.1,111136.105,112771.09,363.32864646721134,0.3253268874207107,low,544.9950000000099,1089.9899999999907,1.5000055880515137,1.9999999999999465
BTC-USDT_long_1757332800,long,112626.3,112015.62,113847.66,407.1240413167061,0.36148221269517516,low,610.6800000000076,1221.3600000000006,1.4999851102503503,1.9999999999999762
BTC-USDT_short_1757350800,short,111951.4,112067.575,111719.05,77.45441078119758,0.06918574558352784,low,116.17500000000291,232.34999999999127,1.4999145797931102,1.9999999999998748
BTC-USDT_long_1757355300,long,112328.8,111726.43,113533.54,401.57626679039026,0.3575007182400153,low,602.3700000000099,1204.7399999999907,1.5000139445850953,1.9999999999999516
BTC-USDT_short_1757366100,short,111796.3,111981.55,111425.8,123.49680579216505,0.11046591505458145,low,185.25,370.5,1.5000387970500264,2.0
BTC-USDT_short_1757369700,short,111376.9,111996.595,110137.51,413.1339170085456,0.3709332159617889,low,619.695000000007,1239.3899999999994,1.4999857781882109,1.9999999999999765
BTC-USDT_long_1757382300,long,112979.6,111131.66,116675.48,923.9687801613746,0.8178191285518577,normal,1847.9400000000023,3695.87999999999,2.0000026404325615,1.9999999999999922
BTC-USDT_short_1757421000,short,110971.6,111770.86,109373.08,532.8379794269056,0.4801570666971599,low,799.2599999999948,1598.520000000004,1.5000056881449022,2.000000000000018
BTC-USDT_long_1757475000,long,112526.9,111822.665,113935.37,469.4898350858151,0.41722453483195143,low,704.2350000000006,1408.4700000000012,1.5000005268937886,2.0
BTC-USDT_long_1757475900,long,112526.9,111822.665,113935.37,469.4898350858151,0.41722453483195143,low,704.2350000000006,1408.4700000000012,1.5000005268937886,2.0
BTC-USDT_long_1757500200,long,114001.2,113483.52,115036.56,345.1219680221859,0.302735381752285,low,517.679999999993,1035.3600000000006,1.4999914464057367,2.000000000000028
BTC-USDT_long_1757518200,long,113577.5,112813.13,115106.24,509.5807567557194,0.4486634736243705,low,764.3699999999953,1528.7400000000052,1.4999977724167,2.000000000000019
BTC-USDT_long_1757618100,long,115082.0,114374.3,116497.4,471.7969216023757,0.4099658692083694,low,707.6999999999971,1415.3999999999942,1.500009787254266,2.0
BTC-USDT_long_1757904300,long,116118.2,115518.275,117318.05,399.9515429825634,0.34443484568531324,low,599.9250000000029,1199.8500000000058,1.4999942131143564,2.0
BTC-USDT_short_1757911500,short,115652.9,116053.13,114852.44,266.8167175239429,0.23070473591578156,low,400.2300000000105,800.4599999999919,1.5000184535442225,1.9999999999999274
BTC-USDT_short_1757915100,short,115085.7,115567.32,114122.46,321.0838426537457,0.2789954291921114,low,481.6200000000099,963.2399999999907,1.4999820483629416,1.9999999999999396
BTC-USDT_long_1757988000,long,115924.6,115255.765,117262.27,445.88802452012214,0.3846362415916226,low,668.8350000000064,1337.6699999999983,1.5000066456591346,1.9999999999999782
BTC-USDT_short_1758009600,short,115328.7,115566.705,114852.69,158.67119641297205,0.13758170898741776,low,238.00500000000466,476.00999999999476,1.4999886896960886,1.999999999999939
BTC-USDT_long_1758026700,long,116064.2,115383.98,117424.64,453.47764725710215,0.39071276694889734,low,680.2200000000012,1360.4400000000023,1.500007782333637,2.0
BTC-USDT_short_1758122100,short,115257.7,115976.44,113820.22,479.15890076933556,0.415728320771051,low,718.7400000000052,1437.479999999996,1.5000034411256877,1.9999999999999798
BTC-USDT_long_1758133800,long,116192.6,115961.525,116654.75,154.0465058138572,0.13257858573941644,low,231.07500000001164,462.1499999999942,1.5000340240059205,1.999999999999874
BTC-USDT_long_1758138300,long,116431.5,115228.54,118837.42,601.4809874353839,0.5165964429174097,normal,1202.9600000000064,2405.9199999999983,1.999996716653057,1.999999999999988
BTC-USDT_short_1758299400,short,115327.0,115610.98,114759.04,189.32190546877612,0.16416095577685721,low,283.9799999999959,567.9600000000064,1.499984902945271,2.000000000000051
BTC-USDT_short_1758309300,short,115635.8,117392.7,112122.0,878.447578950044,0.7596674896096571,normal,1756.8999999999942,3513.800000000003,2.0000055121102527,2.0000000000000084
BTC-USDT_short_1758559500,short,112784.4,113575.875,111201.45,527.6501397078373,0.4678396477773853,low,791.4750000000058,1582.949999999997,1.499999602839582,1.9999999999999816
BTC-USDT_long_1758714300,long,113618.0,113248.835,114356.33,246.1071680152154,0.21660931191819552,low,369.1649999999936,738.3300000000017,1.500017260680397,2.0000000000000395
BTC-USDT_short_1758744900,short,113290.7,115081.34,109709.42,895.3157177741506,0.7902817422561169,normal,1790.6399999999994,3581.279999999999,2.0000095658453527,2.0
BTC-USDT_short_1758809700,short,109356.2,111483.0,105102.6,1063.4016096229943,0.9724200453408169,normal,2126.800000000003,4253.599999999991,1.9999969726903208,1.9999999999999931
BTC-USDT_long_1759086000,long,111909.7,111574.885,112579.33,223.20533351314043,0.1994512839487019,low,334.8150000000023,669.6300000000047,1.5000313600494286,2.0
BTC-USDT_short_1759118400,short,111642.0,111754.8,111416.4,75.19819321249571,0.06735654432247336,low,112.80000000000291,225.60000000000582,1.500036040510331,2.0
BTC-USDT_long_1759120200,long,111995.4,111755.55,112475.1,159.90195479198923,0.14277546648522102,low,239.84999999999127,479.70000000001164,1.4999816625882005,2.0000000000001212
BTC-USDT_long_1759141800,long,114013.9,113296.495,115448.71,478.27305257131593,0.4194866174837594,low,717.4049999999988,1434.8100000000122,1.4999904262702017,2.0000000000000204
BTC-USDT_short_1759212000,short,112989.8,113281.535,111901.15,194.4903892599212,0.17213092620742862,low,291.7350000000006,1088.6500000000087,1.4999969978471255,3.731640015767757
BTC-USDT_long_1759228200,long,113094.3,111398.9,116485.1,847.699103735045,0.7495506879966939,normal,1695.4000000000087,3390.800000000003,2.0000021145827698,1.9999999999999913
BTC-USDT_long_1759301100,long,116789.9,114889.96,120589.78,949.971382734956,0.8134020002885147,normal,1899.9399999999878,3799.8800000000047,1.9999970888913345,2.000000000000015
BTC-USDT_long_1759419900,long,120821.4,119538.06,123388.08,641.6655847379468,0.5310860366937867,normal,1283.3399999999965,2566.6800000000076,2.000013761878949,2.0000000000000115
BTC-USDT_long_1759467600,long,120033.9,119241.825,121618.05,528.0485881225092,0.43991621377170054,low,792.0749999999971,1584.1500000000087,1.500004010646522,2.000000000000018
BTC-USDT_long_1759493700,long,122273.1,121712.355,123394.59,373.8312468389878,0.30573466023106294,low,560.7450000000099,1121.4899999999907,1.4999949970515103,1.999999999999948
BTC-USDT_long_1759497300,long,122538.5,121155.32,125304.86,691.5919197053634,0.5643874534985849,normal,1383.179999999993,2766.3600000000006,1.9999944484447776,2.0000000000000107
BTC-USDT_long_1759628700,long,124682.7,122425.76,129196.58,1128.4748644169317,0.9050773398530283,normal,2256.9400000000023,4513.880000000005,1.999991378776641,2.0
BTC-USDT_short_1759838400,short,121701.3,122512.185,120079.53,540.5914581039507,0.4441953028471764,low,810.8849999999948,1621.770000000004,1.4999959541426369,2.0000000000000178
BTC-USDT_long_1759901400,long,122562.5,122031.785,123623.93,353.81268676390374,0.28867939766560224,low,530.7149999999965,1061.429999999993,1.4999886093800199,2.0
BTC-USDT_long_1759932000,long,124027.4,122411.02,127260.16,808.1920487428359,0.6516237934060022,normal,1616.37999999999,3232.7600000000093,1.9999949300593984,2.000000000000018
