time,equity
2024-11-04 03:00:00,9983.63
2024-11-05 04:00:00,9994.80
2024-11-06 05:00:00,10048.85
2024-11-07 06:00:00,10138.17
2024-11-08 07:00:00,10128.67
2024-11-09 08:00:00,10122.10
2024-11-10 09:00:00,10146.55
2024-11-11 10:00:00,10164.41
2024-11-12 11:00:00,10203.03
2024-11-13 12:00:00,10249.27
2024-11-14 13:00:00,10223.36
2024-11-15 14:00:00,10268.62
2024-11-16 15:00:00,10254.69
2024-11-17 16:00:00,10249.67
2024-11-18 17:00:00,10252.93
2024-11-19 18:00:00,10264.30
2024-11-20 19:00:00,10257.81
2024-11-21 20:00:00,10255.65
2024-11-22 21:00:00,10275.46
2024-11-23 22:00:00,10274.89
2024-11-24 23:00:00,10270.40
2024-11-26 00:00:00,10297.89
2024-11-27 01:00:00,10310.42
2024-11-28 02:00:00,10343.54
2024-11-29 03:00:00,10357.34
2024-11-30 04:00:00,10364.19
2024-12-01 05:00:00,10363.41
2024-12-02 06:00:00,10373.37
2024-12-03 07:00:00,10379.15
2024-12-04 08:00:00,10382.62
2024-12-05 09:00:00,10417.18
2024-12-06 10:00:00,10423.86
2024-12-07 11:00:00,10445.51
2024-12-08 12:00:00,10435.77
2024-12-09 13:00:00,10466.45
2024-12-10 14:00:00,10487.73
2024-12-11 15:00:00,10451.48
2024-12-12 16:00:00,10437.46
2024-12-13 17:00:00,10444.66
2024-12-14 18:00:00,10465.51
2024-12-15 19:00:00,10480.74
2024-12-16 20:00:00,10467.03
2024-12-17 21:00:00,10477.70
2024-12-18 22:00:00,10470.47
2024-12-19 23:00:00,10477.85
2024-12-21 00:00:00,10492.88
2024-12-22 01:00:00,10540.78
2024-12-23 02:00:00,10552.62
2024-12-24 03:00:00,10553.62
2024-12-25 04:00:00,10526.62
2024-12-26 05:00:00,10561.74
2024-12-27 06:00:00,10574.19
2024-12-28 07:00:00,10582.40
2024-12-29 08:00:00,10577.79
2024-12-30 09:00:00,10585.62
2024-12-31 10:00:00,10606.43
2025-01-01 11:00:00,10622.35
2025-01-02 12:00:00,10618.56
2025-01-03 13:00:00,10607.41
2025-01-04 14:00:00,10633.61
2025-01-05 15:00:00,10629.81
2025-01-06 16:00:00,10656.22
2025-01-07 17:00:00,10690.21
2025-01-08 18:00:00,10731.83
2025-01-09 19:00:00,10732.34
2025-01-10 20:00:00,10752.40
2025-01-11 21:00:00,10737.61
2025-01-12 22:00:00,10731.87
2025-01-13 23:00:00,10739.22
2025-01-15 00:00:00,10762.40
2025-01-16 01:00:00,10785.01
2025-01-17 02:00:00,10819.36
2025-01-18 03:00:00,10832.93
2025-01-19 04:00:00,10847.71
2025-01-20 05:00:00,10871.34
2025-01-21 06:00:00,10893.16
2025-01-22 07:00:00,10933.25
2025-01-23 08:00:00,10898.96
2025-01-24 09:00:00,10899.51
2025-01-25 10:00:00,10896.81
2025-01-26 11:00:00,10911.58
2025-01-27 12:00:00,10928.46
2025-01-28 13:00:00,10978.33
2025-01-29 14:00:00,10976.94
2025-01-30 15:00:00,10991.10
2025-01-31 16:00:00,11000.71
